Resim,Seri,Model,İlan Başlığı,Yıl,KM,Renk,Fiyat,İlan Tarihi,İl / İlçe,İlan Linki
https://i0.shbdn.com/photos/91/51/86/lthmb_1259915186svl.jpg,3 Serisi,320d Standart,BMW 3.20D F30 | SORUNSUZ MEKANİK | UYGUN FİYAT,2012,134.500,Füme,1149500,05 Ağustos 2025,Eskişehir / Odunpazarı,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bmw-3.20d-f30-sorunsuz-mekanik-uygun-fiyat-1259915186/detay
https://i0.shbdn.com/photos/33/15/19/lthmb_1254331519b22.jpg,3 Serisi,318i Standart,PALABIYIK MOTORS'TAN BMW 318i MASRAFSIZ,1992,327.000,Mavi,300000,05 Ağustos 2025,Konya / Karatay,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-palabiyik-motors-tan-bmw-318i-masrafsiz-1254331519/detay
https://i0.shbdn.com/photos/21/51/83/lthmb_1232215183a41.jpg,i Serisi,i5 eDrive 40,Borusan çıkışlı Hatasız tramersiz arka aks,2024,17.000,Beyaz,4850000,05 Ağustos 2025,Ankara / Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-borusan-cikisli-hatasiz-tramersiz-arka-aks-1232215183/detay
https://i0.shbdn.com/photos/93/83/47/lthmb_1234938347un4.jpg,3 Serisi,325i Standart,1987 orjinal 325İ,1987,250.000,Beyaz,500000,05 Ağustos 2025,İstanbul / Gaziosmanpaşa,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-1987-orjinal-325i-1234938347/detay
https://i0.shbdn.com/photos/43/39/09/lthmb_12234339091nu.jpg,5 Serisi,520d Premium,GG-AUTO 520D MAKAM PERDE TABA KOLTUK MASRAFSIZ EMSALSİZ TEMZLİK,2011,291.000,Siyah,1250000,05 Ağustos 2025,Kayseri / Melikgazi,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-gg-auto-520d-makam-perde-taba-koltuk-masrafsiz-emsalsiz-temzlik-1223433909/detay
https://i0.shbdn.com/photos/00/34/56/lthmb_126300345674g.jpg,4 Serisi,418i Gran Coupe Sport Line,BORUSAN YETKİLİ SERVİSİ TREND OTO'DAN 418i GRANCOUPE SPORTLİNE,2016,98.500,Lacivert,1629900,05 Ağustos 2025,İstanbul / Ümraniye,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-borusan-yetkili-servisi-trend-oto-dan-418i-grancoupe-sportline-1263003456/detay
https://i0.shbdn.com/photos/17/57/45/lthmb_11951757450th.jpg,3 Serisi,330xd Standart,TÜRKİYEDE TEK 330 XDRİVE LCİ N57 TERTEMİZ BAKİMLİ karta taksit,2012,238.000,Beyaz,1375000,05 Ağustos 2025,Antalya / Muratpaşa,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-turkiyede-tek-330-xdrive-lci-n57-tertemiz-bakimli-karta-taksit-1195175745/detay
https://i0.shbdn.com/photos/73/21/56/lthmb_1256732156nda.jpg,3 Serisi,318i Standart,Takas olur BMW 318i benzin/lpg otomatik,2007,333.000,Beyaz,700000,05 Ağustos 2025,Antalya / Muratpaşa,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-takas-olur-bmw-318i-benzin-lpg-otomatik-1256732156/detay
https://i0.shbdn.com/photos/56/05/92/lthmb_1262560592nnb.jpg,3 Serisi,320Cd,320cd otomatik vites,2004,419.000,Siyah,675000,05 Ağustos 2025,Bursa / Nilüfer,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-320cd-otomatik-vites-1262560592/detay
https://i0.shbdn.com/photos/81/68/71/lthmb_1252816871i1z.jpg,3 Serisi,318i Prestige,2017 ÇIKIŞLI BMW 500 BİN PEŞİN 24 AY SENET İMKANI 12 AY K.KARTİ,2016,179.000,Beyaz,1235000,05 Ağustos 2025,İstanbul / Esenyurt,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2017-cikisli-bmw-500-bin-pesin-24-ay-senet-imkani-12-ay-k.karti-1252816871/detay
https://i0.shbdn.com/photos/00/84/91/lthmb_1260008491kdo.jpg,3 Serisi,320i ED Sport Plus,UKG MOTORS-2016 LCI-3.20 IED SPORTPLUS 160.000 KM DE,2016,160.000,Siyah,1485000,05 Ağustos 2025,İstanbul / Kadıköy,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ukg-motors-2016-lci-3.20-ied-sportplus-160.000-km-de-1260008491/detay
https://i0.shbdn.com/photos/00/59/74/lthmb_1260005974up5.jpg,3 Serisi,325Ci,DURAN MOTORS'DAN BMW SAFKAN 325Cİ,1986,180.000,Kırmızı,1499900,05 Ağustos 2025,Ankara / Akyurt,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-duran-motors-dan-bmw-safkan-325ci-1260005974/detay
https://i0.shbdn.com/photos/61/53/50/lthmb_1206615350opr.jpg,3 Serisi,330d M Sport,DGC MOTOR'S DAN BMW E46 330 DİZEL MANUEL VITES TAKASLI,2000,340.000,Gri,489000,05 Ağustos 2025,İstanbul / Beylikdüzü,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-dgc-motor-s-dan-bmw-e46-330-dizel-manuel-vites-takasli-1206615350/detay
https://i0.shbdn.com/photos/00/91/75/lthmb_12600091757dc.jpg,3 Serisi,320i M Sport,RTM MOTORS / 2023 BMW 320i MSPORT HATASIZ BOYASIZ,2023,26.000,Beyaz,3500000,05 Ağustos 2025,Kocaeli / Başiskele,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-rtm-motors-2023-bmw-320i-msport-hatasiz-boyasiz-1260009175/detay
https://i0.shbdn.com/photos/41/12/75/lthmb_1253411275n06.jpg,3 Serisi,320d Standart,2013 MODEL BMW 3.20D STANDART DİZEL OTOMATİK BAKIMLI,2013,170.000,Beyaz,1285000,05 Ağustos 2025,İstanbul / Ataşehir,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2013-model-bmw-3.20d-standart-dizel-otomatik-bakimli-1253411275/detay
https://i0.shbdn.com/photos/77/24/08/lthmb_12597724084t9.jpg,3 Serisi,320d Premium,BOYASIZ BMW 320 D PREMİUM SUNROOF GERİ GÖRÜŞ KAMERASI 196.000 KM,2017,196.000,Siyah,1625000,05 Ağustos 2025,İstanbul / Çekmeköy,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-boyasiz-bmw-320-d-premium-sunroof-geri-gorus-kamerasi-196.000-km-1259772408/detay
https://i0.shbdn.com/photos/01/26/88/lthmb_1260012688ttf.jpg,7 Serisi,730i M Sport,ATEŞ CAR'S DAN BMW 7.30 İ M EXCELLENCE,2016,175.000,Gri,3575000,05 Ağustos 2025,Konya / Çumra,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ates-car-s-dan-bmw-7.30-i-m-excellence-1260012688/detay
